2025-08-14 18:29:14,159 - {'ts': '2025-08-14 16:29:00+0000', 'symbol': 'DASH/USDT', 'price': 22.25, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 22.17234524, 'tp': 22.37424762}
2025-08-14 18:30:31,466 - {'ts': '2025-08-14 16:30:00+0000', 'symbol': 'DATA/USDT', 'price': 0.01647, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.01637843, 'tp': 0.01661652}
2025-08-14 18:31:43,828 - {'ts': '2025-08-14 16:31:00+0000', 'symbol': 'DCR/USDT', 'price': 16.97, 'score': 0, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 16.90356293, 'tp': 17.0762993}
2025-08-14 18:32:59,091 - {'ts': '2025-08-14 16:32:00+0000', 'symbol': 'DEGO/USDT', 'price': 1.25, 'score': 70, 'weight': 0.25, 'entry': True, 'exit': False, 'sl': 1.2447585, 'tp': 1.2583864}
2025-08-14 18:34:25,943 - {'ts': '2025-08-14 16:34:00+0000', 'symbol': 'DENT/USDT', 'price': 0.000781, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.00077574, 'tp': 0.00078942}
2025-08-14 18:35:45,492 - {'ts': '2025-08-14 16:35:00+0000', 'symbol': 'DEXE/USDT', 'price': 7.11, 'score': 10, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 7.09722667, 'tp': 7.13043733}
2025-08-14 18:37:00,665 - {'ts': '2025-08-14 16:36:00+0000', 'symbol': 'DF/USDT', 'price': 0.0282, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.02808869, 'tp': 0.0283781}
2025-08-14 18:38:22,706 - {'ts': '2025-08-14 16:38:00+0000', 'symbol': 'DGB/USDT', 'price': 0.00912, 'score': 50, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.00908039, 'tp': 0.00918338}
2025-08-14 18:39:40,121 - {'ts': '2025-08-14 16:39:00+0000', 'symbol': 'DIA/USDT', 'price': 0.7632, 'score': 20, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.75892697, 'tp': 0.77003685}
2025-08-14 18:40:54,036 - {'ts': '2025-08-14 16:40:00+0000', 'symbol': 'DODO/USDT', 'price': 0.0443, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.04401197, 'tp': 0.04476085}
2025-08-14 18:42:10,409 - {'ts': '2025-08-14 16:42:00+0000', 'symbol': 'DOGE/USDT', 'price': 0.2239, 'score': 60, 'weight': 0.25, 'entry': False, 'exit': False, 'sl': 0.222647, 'tp': 0.22590481}
2025-08-14 18:43:32,114 - {'ts': '2025-08-14 16:43:00+0000', 'symbol': 'DOGS/USDT', 'price': 0.0001347, 'score': 30, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 0.00013378, 'tp': 0.00013618}
2025-08-14 18:44:49,862 - {'ts': '2025-08-14 16:44:00+0000', 'symbol': 'DOT/USDT', 'price': 3.97, 'score': 40, 'weight': 0.25, 'entry': False, 'exit': True, 'sl': 3.94962652, 'tp': 4.00259757}
